id,name,mrp,sp,category
4.79111E+12,"laf,da.dva ",200,200,
4.79111E+12,"laf,da.dva fmdvs",125,125,
4.79217E+12,iqmsrsjsls,275,275,
4.79202E+12,iqoka; fmdvs,135,135,
4.79202E+12,iqoka;,220,220,
4.79208E+12,"is.ak,a",250,250,
4.79208E+12,"is.ak,a fmdvs",200,200,
4.79208E+12,"is.ak,a fmdvS",125,113.5,
8.90157E+12,fikafidvhska,850,840,
4.79217E+12,iqmsrsjsls,135,135,
4.79208E+12,"is.ak,a yran,a",110,110,
4.79208E+12,wdhqIaa,115,115,
995,ieuka,560,460,
4.79601E+12,"is.ak,a nQIa",105,105,
4.79208E+12,"isa.ak,a nQIa",130,130,
4.79208E+12,fmhdia inka,145,143,
4.79208E+12,",laia mela",250,250,
4.79208E+12,wdhqIa inka,225,225,
4.79208E+12,"ika,hsgs mela",420,420,
4.79208E+12,"ika,hsgs mela",420,420,
4.79601E+12,"fjdkav,hsgs ",80,80,
4.79205E+12,usIqus inka,200,200,
4.79202E+12,iuyka ,1800,1600,
8.90103E+12,luaIaraga fmdvs,150,150,
8.90103E+12,luaIaraga fmdvs,150,150,
4.7921E+12,bfkda,65,65,
4.79101E+12,kskacd o.r,180,180,
4.79208E+12,"ikais,ala Ieuamq",335,335,
4.79208E+12,"ikais,ala Ieuamq",335,335,
4.79208E+12,",hsIafndahs Ieuamq",300,300,
8.90103E+12,luaIraga,390,390,
8.90103E+12,luaIraga ,390,390,
52,"r;q ,QKQ",400,320,
4.79217E+12,jsch f;a 100,280,280,
4.793E+12,fykavarsla f;a,110,110,
4.79105E+12,"jgj, 50",140,140,
4.79105E+12,fiiagd f;a,320,320,
5.06331E+12,"isf,dkagd ",345,320,
9.06609E+12,yemslja pSia,110,100,
4.797E+12,.sks fmgags,10,10,
4.7921E+12,"mekfvda,a",502,450,
4.79221E+12,"ly mekai,",20,20,
4.79208E+12,nSu lqqvq ,190,190,
4.79208E+12,nSu lqqvq ,190,190,
4.79601E+12,"flda,aukaia fmgags",695,685,
4.79601E+12,"flda,aukaia ",260,260,
4.79602E+12,nSu lqvq,395,390,
4.793E+12,ieuka fmdvs,375,290,
4.79602E+12,iqmsrs ieuka,650,550,
512,"yd,aueiafid",1400,950,
4.79109E+12,r;a;s melga,555,550,
4.79202E+12,fkialfma melga,80,80,
4.79223E+12,rgbos flala,690,690,
4.79219E+12,ikalqhsla fmdvs,660,660,
4.79219E+12,"ikalqhsla f,dlq",1310,1310,
4.796E+12,"lE,s usrsia",80,80,
4.796E+12,"lE,s usrsia 100",160,160,
4.796E+12,;qkmy melga 50,90,90,
4.79217E+12,usrsia lqvq,80,80,
4.796E+12,.uausrsia lqvq,230,230,
4.79217E+12,;qkmy 250,425,425,
4.79217E+12,usrsia lqvq 250,400,400,
4.79217E+12,"lE,s usrsia 250",400,400,
4.79217E+12,"Wuau,lv iuafnda,",55,55,
4.79219E+12,"fpdla,ga mska.raia",100,100,
4.79219E+12,"fpdla,ga mska.raia",160,160,
4.79219E+12,"fpdla,ga mska.raia",230,230,
4.79219E+12,pkals fpdla,250,250,
4.79219E+12,"30 fpdla,ga",30,30,
4.79219E+12,iagsla fmgags,120,120,
4.79219E+12,iagsla fmgags,120,120,
4.79219E+12,iagsla fmgags,120,120,
4.79219E+12,"fpdla,ga",100,100,
4.79219E+12,iagsla,40,40,
4.79219E+12,iagsla,40,40,
4.79219E+12,"fmn,aia",420,420,
4.79219E+12,fmdmsga,60,60,
4.79219E+12,fpdflda kga,420,420,
4.79219E+12,fmdmsga,350,350,
4.79219E+12,pkals fpdla,120,120,
470,m;a;r,320,230,
3.08613E+12,nsla fraira 2,140,105,
3.08613E+12,nsla fraira 1,120,120,
3.08613E+12,nsla fraira 3,240,240,
8.90136E+12,"cs,ga fraira",150,150,
4.79101E+12,fmdvs negrs,125,125,
397,fijk iqregagq,1000,825,
783,nnr plq,20,15,
780,"ks,dlQre fmgags",100,100,
457,wyia lQre,2000,1100,
534,"r;sCAkd lr,a",550,400,
562,wcskfudfgda,650,600,
436,.SkamSia,800,600,
432,.SkamSia,600,600,
395,fldiai,350,350,
491,yegag lgq,10,10,
4.79601E+12,"lqlska Uhs,a",810,650,
4.796E+12,f.drld lSua,80,80,
4.79202E+12,iqma leg,90,90,
4.79214E+12,"cEua fnda;,aA",290,290,
4.79214E+12,pgaks,325,325,
4.79214E+12,"cEua fnda;,aA",290,290,
4.79202E+12,iqma leg,325,325,
4.793E+12,"fmd,a meks",400,400,
4.793E+12,"fmd,a meks",250,250,
4.79602E+12,fidahd fidaia,230,230,
4.79202E+12,cEua lma,110,110,
4.79214E+12,";lald,s fidaia",290,290,
4.79602E+12,";lald,s fidaia",290,290,
4.79219E+12,"fc,s",220,220,
4.79219E+12,"fc,s",220,220,
4.79219E+12,"fc,s",220,220,
4.79601E+12,fkda iqmaleg,100,100,
4.79601E+12,uduhsga,360,360,
4.79601E+12,uduhsga,695,695,
4.79601E+12,fkda iqma,50,50,
4.79217E+12,lrs ;qkmy,85,85,
4.79208E+12,vja Ieuamqq,500,500,
4.79601E+12,weikaia,200,200,
554,mSud msgs,220,200,
8.8881E+12,udrs,100,100,
4.79202E+12,"fkiagfuda,aga",780,770,
8.85002E+12,iiagcka ,3900,3900,
4.79221E+12,"fc,gska",500,500,
4.79219E+12,"fc,gska",350,350,
4.79601E+12,fnalska mjqvra,150,150,
4.79601E+12,mmvua melga,95,90,
4.79208E+12,"is.ak,a",200,200,
258,fidahd,700,650,
4.79602E+12,wnd,230,220,
4.79207E+12,"fldf,dka",360,360,
4.79208E+12,"is.ak,a",285,285,
4.79208E+12,"is.ak,a",360,360,
