id,බ්ප්,mrp,sp,category
950,වතුර බෝතල්,100,100,
940,බයිටි,800,700,
930,ටොපි බෝතල්,1000,800,
500,පැනඩෝල්,502,475,
444,පෙති පාන්,220,200,
4.79E+12,මොරිසන්,230,230,
4.79E+12,අසමෝදගම්,200,200,
4.80E+12,සප්තමී,150,145,
4.79E+12,ක්ලෝසප් පොඩි,125,125,
4.79E+12,ක්ලෝසප් ලොකු,375,370,
4.79E+12,ආයුෂ් ලොකු,345,345,
4.79E+12,ආයුෂ් පොඩි,230,230,
4.79E+12,ක්ලෝගාඩ් ලොකු,435,360,
4.79E+12,ක්ලෝගාඩ් ,200,200,
4.79E+12,ක්ලෝගාඩ් පොඩි,125,125,
4.79E+12,සුපිරිවිකි,275,275,
4.79E+12,සුදන්ත පොඩි,135,135,
4.79E+12,සුදන්ත,220,220,
4.79E+12,සිග්නල්,250,250,
4.79E+12,සිග්නල් පොඩි,200,200,
4.79E+12,සිග්නල් පොඩී,125,113.5,
8.90E+12,සෙන්සොඩයින්,850,840,
4.79E+12,සුපිරිවිකි,135,135,
4.79E+12,සිග්නල් හර්බල්,110,110,
4.79E+12,ආයුෂ්,115,115,
995,සැමන්,560,460,
4.80E+12,සිග්නල් බූෂ්,105,105,
4.79E+12,සි්ග්නල් බූෂ්,130,130,
4.79E+12,පෙයාස් සබන්,145,143,
4.79E+12,ලක්ස් පැක්,250,250,
4.79E+12,ආයුෂ් සබන්,225,225,
4.79E+12,සන්ලයිටි පැක්,420,420,
4.79E+12,සන්ලයිටි පැක්,420,420,
4.80E+12,වොන්ඩලයිටි ,80,80,
4.79E+12,මිෂුමි සබන්,200,200,
4.79E+12,සමහන් ,1800,1600,
8.90E+12,කම්ෂ්ර්ට් පොඩි,150,150,
8.90E+12,කම්ෂ්ර්ට් පොඩි,150,150,
4.79E+12,ඉනෝ,65,65,
4.79E+12,නින්ජා දගර,180,180,
4.79E+12,සන්සිල්ක් ෂැම්පු,335,335,
4.79E+12,සන්සිල්ක් ෂැම්පු,335,335,
4.79E+12,ලයිෂ්බෝයි ෂැම්පු,300,300,
8.90E+12,කම්ෂර්ට්,390,390,
8.90E+12,කම්ෂර්ට් ,390,390,
52,රතු ලූණූ,400,320,
4.79E+12,විජය තේ 100,280,280,
4.79E+12,හෙන්ඩ්රික් තේ,110,110,
4.79E+12,වටවල 50,140,140,
4.79E+12,සෙස්ටා තේ,320,320,
5.06E+12,සිලොන්ටා ,345,320,
9.07E+12,හැපිකව් චීස්,110,100,
4.80E+12,ගිනි පෙට්ටි,10,10,
4.79E+12,පැනඩෝල්,502,450,
4.79E+12,කහ පැන්සල,20,20,
4.79E+12,බීම කුඩු ,190,190,
4.79E+12,බීම කුඩු ,190,190,
4.80E+12,කෝල්මන්ස් පෙට්ටි,695,685,
4.80E+12,කෝල්මන්ස් ,260,260,
4.80E+12,බීම කුඩු,395,390,
4.79E+12,සැමන් පොඩි,375,290,
4.80E+12,සුපිරි සැමන්,650,550,
512,හාල්මැස්සො,1400,950,
4.79E+12,රත්ති පැකට්,555,550,
4.79E+12,නෙස්කපේ පැකට්,80,80,
4.79E+12,රටඉදි කේක්,690,690,
4.79E+12,සන්කුයික් පොඩි,660,660,
4.79E+12,සන්කුයික් ලොකු,1310,1310,
4.80E+12,කෑලි මිරිස්,80,80,
4.80E+12,කෑලි මිරිස් 100,160,160,
4.80E+12,තුනපහ පැකට් 50,90,90,
4.79E+12,මිරිස් කුඩු,80,80,
4.80E+12,ගම්මිරිස් කුඩු,230,230,
4.79E+12,තුනපහ 250,425,425,
4.79E+12,මිරිස් කුඩු 250,400,400,
4.79E+12,කෑලි මිරිස් 250,400,400,
4.79E+12,උම්මලකඩ සම්බෝල,55,55,
4.79E+12,චොක්ලට් පින්ගර්ස්,100,100,
4.79E+12,චොක්ලට් පින්ගර්ස්,160,160,
4.79E+12,චොක්ලට් පින්ගර්ස්,230,230,
4.79E+12,චන්කි චොක්,250,250,
4.79E+12,30 චොක්ලට්,30,30,
4.79E+12,ස්ටික් පෙට්ටි,120,120,
4.79E+12,ස්ටික් පෙට්ටි,120,120,
4.79E+12,ස්ටික් පෙට්ටි,120,120,
